listing,price,serial,condition,weight,stock
Gibson Zakk Wylde Les Paul Custom Camo Bullseye 2002,"$8,495.00",Serial #ZPW211,USED,Weight: 10lbs 6oz,In Stock!
Nash S-63 Natural Heavy Relic,"$2,795.00",Serial #CHI791,NEW,Weight: 7lbs 13oz,In Stock!
"Fender Custom Shop 1960 Stratocaster ""Chicago Special"" NOS Fluorescent Yellow","$4,175.00",Serial #R143909,NEW,Weight: 8lbs,In Stock!
Epiphone USA Casino Royal Tan,"$3,499.00",Serial #211440342,NEW,Weight: 6lbs 7oz,In Stock!
PRS Custom 24 10 Top Purple Mist,"$5,490.00",Serial #0406704,NEW,,In Stock!
PRS McCarty 594 Hollowbody II 10 Top Back McCarty Sunburst,"$7,230.00",Serial #0405881,NEW,Weight: 5lbs 11oz,In Stock!
Fender American Vintage '65 Stratocaster Sunburst 2016 LEFTY,"$1,795.00",Serial #V1739093,USED,Weight: 7lbs 10oz,In Stock!
Squier Affinity Series Telecaster Thinline 3-Color Sunburst,$377.99,Serial #CYKH24004708,USED,Weight: 6lbs 8oz,In Stock!
Jackson Pro Plus Series Dinky DKAQ Ghost Burst,$830.00,Serial #CYJ2301634,USED,,In Stock!
Gibson Memphis ES-335 Big Block Retro Wood Rose 2018,"$4,495.00",Serial #13317718,USED,Weight: 7lbs 11oz,In Stock!
Fender Custom Shop Todd Krause Masterbuilt '54 Stratocaster Relic Sunburst 2014,"$6,995.00",Serial #1771,USED,Weight: 7lbs 10oz,In Stock!
PRS Wood Library Custom 24 Semi-Hollow w/Brazilian Rosewood Fretboard Faded Blue Jean 2020,"$4,995.00",Serial #0310013,USED,Weight: 6lbs 14oz,In Stock!
Fender Custom Shop Ron Thorn Masterbuilt Jazzmaster NOS Antigua Unburst w/Antigua Pickguard & Headstock 2020,"$5,495.00",Serial #RT0214,USED,Weight: 8lbs 1oz,In Stock!
Gibson ES-120T Sunburst 1963,"$2,395.00",Serial #128865,VINTAGE,Weight: 5lbs 7oz,In Stock!
Gibson Les Paul Standard Wine Red 1981,"$2,995.00",Serial #82961557,USED,Weight: 9lbs 2oz,In Stock!
Fender Limited Edition American Vintage II 1973 Stratocaster Olympic White,"$2,479.99",,NEW,,Pre-Order
PRS S2 Custom 24-08 Lake Blue,"$2,399.00",Serial #S2082111,NEW,Weight: 7lbs 9oz,In Stock!
PRS CE 24 Faded Gray Black Purple Burst,"$2,699.00",Serial #0406931,NEW,Weight: 8lbs 1oz,In Stock!
Gibson Original Les Paul Standard '60s Bourbon Burst,"$2,999.00",Serial #211350097,NEW,Weight: 9lbs 7oz,In Stock!
Gibson Original Les Paul Standard '60s Bourbon Burst,"$2,999.00",Serial #208450034,NEW,Weight: 8lbs 8oz,In Stock!
Ibanez ATZ300BK Andy Timmons Signature Electric Guitar Black,"$3,699.99",Serial #210001F2512117,NEW,Weight: 9lbs 6oz,In Stock!
Yamaha SA2200 Semi-Hollow Electric Brown Sunburst Guitar,"$2,899.99",,NEW,,In Stock!
Gibson Custom Shop 1963 SG Special Reissue Antique Pewter Sparkle Murphy Lab Ultra Light Aged,"$5,299.00",Serial #501573,NEW,Weight: 6lbs 10oz,In Stock!
"Gibson Custom Shop 1958 Les Paul Standard ""CME Spec"" Green Lemon VOS w/59 Carmelita Neck","$5,799.00",Serial #85296,NEW,Weight: 8lbs 10oz,In Stock!
Gibson Custom Shop 1964 ES-335 Reissue LEFTY Sixties Cherry VOS,"$5,999.00",Serial #150045,NEW,Weight: 7lbs 15oz,In Stock!
Gibson Custom Shop 1959 ES-335 Reissue LEFTY Vintage Burst VOS,"$5,999.00",Serial #A940540,NEW,Weight: 7lbs 9oz,In Stock!
"Gibson Custom Shop Explorer Custom ""CME Spec"" Aniline Dye VOS","$6,399.00",Serial #CS403727,NEW,Weight: 8lbs 5oz,In Stock!
"Gibson Custom Shop Explorer Custom ""CME Spec"" Transparent Purple/Black Back Gloss","$6,599.00",Serial #CS403789,NEW,Weight: 8lbs 12oz,In Stock!
"Gibson Custom Shop Murphy Lab 1964 Trini Lopez Reissue ""CME Spec"" Heavy Antique Shell Pink Ultra Light Aged","$7,699.00",Serial #140422,NEW,Weight: 8lbs 3oz,In Stock!
"Gibson Custom Shop Explorer Custom ""CME Spec"" Pink Sparkle VOS w/Stinger","$7,199.00",Serial #CS403514,NEW,Weight: 8lbs 8oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Chambered Kindred Burst VOS w/Lightweight Back","$7,999.00",Serial #95602,NEW,Weight: 7lbs 4oz,In Stock!
PRS Limited Edition 40th Anniversary McCarty SC56 Translucent Black,"$4,950.00",Serial #0406127,NEW,Weight: 8lbs 2oz,In Stock!
PRS Limited Edition 40th Anniversary McCarty SC56 Faded Blue Jean,"$4,950.00",Serial #0406570,NEW,Weight: 7lbs 13oz,In Stock!
Rickenbacker 330 Fireglo,"$2,099.00",,NEW,,In Stock!
Rickenbacker 360 Mapleglo,"$2,549.00",,NEW,,In Stock!
Rickenbacker 330/12 12-String Jetglo,"$2,499.00",,NEW,,In Stock!
Rickenbacker 330/12 12-String Fireglo,"$2,499.00",,NEW,,In Stock!
Rickenbacker 330/12 12-String Matte Black,"$2,499.00",,NEW,,In Stock!
Rickenbacker 360/12 12-String Jetglo,"$2,999.00",,NEW,,In Stock!
Fender Custom Shop Post Modern Telecaster Closet Classic Blonde 2017,"$3,195.00",Serial #1443,USED,Weight: 6lbs 11oz,In Stock!
Duesenberg Starplayer CBR Catalina Green,"$3,299.00",Serial #252873,NEW,Weight: 7lbs 15oz,In Stock!
Gibson Les Paul Special TV Yellow 1956,"$16,450.00",Serial #614689,VINTAGE,Weight: 7lbs 11oz,In Stock!
Gibson Custom Shop Flying V Custom Ebony Gloss w/Ebony Fingerboard,"$5,799.00",Serial #CS404370,NEW,Weight: 8lbs 1oz,In Stock!
"Gibson Custom Shop 1968 Les Paul Custom ""CME Spec"" Ebony VOS w/Chambered Body","$6,999.00",Serial #503238,NEW,Weight: 7lbs 11oz,In Stock!
Kramer American Pacer (Previously Owned by Randy Bachman) Black 1985,"$5,195.00",Serial #E6200,USED,Weight: 8lbs 6oz,In Stock!
Gibson Les Paul Anniversary Lefty Ebony 1974 LEFTY,"$2,995.00",,VINTAGE,Weight: 8lbs 14oz,In Stock!
EVH Limited Edition Star Satin Black w/Gold Hardware,$963.00,Serial #EVH2300670,USED,Weight: 7lbs 4oz,In Stock!
Strandberg Boden Classic 6 Trem Red,"$1,295.00",Serial #C1911335,USED,Weight: 5lbs 6oz,In Stock!
G&L USA Fullerton Deluxe Legacy HSS Sublime Green 2022,"$1,295.00",Serial #CLF2203354,USED,Weight: 7lbs 10oz,In Stock!
Ibanez 540P Magenta 1980s,"$1,095.00",Serial #881371,USED,Weight: 7lbs 11oz,In Stock!
"Gibson Custom Shop 1959 ES-335 ""CME Spec"" Antique Blonde Murphy Lab Heavy Aged","$9,099.00",Serial #A950026,NEW,Weight: 7lbs 15oz,In Stock!
Powers Electric A-Type Dolomite Silver w/PF42 Pickups,"$3,999.00",Serial #A928,NEW,Weight: 6lbs 10oz,In Stock!
Taylor T5z Custom Hawaiian Koa Shaded Edgeburst,"$3,799.00",Serial #1203195090,NEW,Weight: 5lbs 7oz,In Stock!
"Gibson Custom Shop 1958 Les Paul Standard ""CME Spec"" Green Lemon VOS w/59 Carmelita Neck","$5,499.00",Serial #841682,NEW,Weight: 8lbs 15oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Cherry Tea Burst VOS w/60 V2 Neck","$6,999.00",Serial #95991,NEW,Weight: 8lbs 9oz,In Stock!
"Gibson Custom Shop 1957 Les Paul Goldtop ""CME Spec"" Double Gold VOS w/60 V2 Neck","$5,399.00",Serial #75135,NEW,Weight: 8lbs 15oz,In Stock!
"Gibson Custom Shop 1958 Les Paul Standard ""CME Spec"" Slow Iced Tea Fade VOS w/59 Carmelita Neck","$5,799.00",Serial #85293,NEW,Weight: 9lbs 1oz,In Stock!
"Gibson Custom Shop 1958 Les Paul Standard ""CME Spec"" Green Lemon VOS w/60 V2 Neck Profile","$5,499.00",Serial #841387,NEW,Weight: 8lbs 12oz,In Stock!
Jackson Custom Shop 1982 Dinky Nitro Pristine Irish Green w/Gold Hardware,"$5,599.99",Serial #XN010409,NEW,Weight: 8lbs 2oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Chambered Slow Iced Tea Fade VOS w/Lightweight Back","$7,999.00",Serial #951046,NEW,Weight: 6lbs 12oz,In Stock!
"Gibson Custom Shop 1968 Les Paul Custom ""CME Spec"" LEFTY Ebony VOS","$6,899.00",Serial #502688,NEW,Weight: 8lbs 13oz,In Stock!
Strandberg Boden Standard NX 6 Plini Edition Mirage,"$1,999.00",,NEW,,Pre-Order
Fender Richie Kotzen Stratocaster Transparent White Burst,"$1,779.99",,NEW,,Pre-Order
Fender Richie Kotzen Stratocaster Transparent Red Burst,"$1,779.99",,NEW,,In Stock!
Fender Limited Edition Mark Speer Stratocaster Natural,"$1,499.99",,NEW,,Pre-Order
Gretsch Limited Edition Falcon Center Block Jr. with Bigsby Quilted Maple Roundup Orange,"$3,899.99",Serial #JT25010054,NEW,Weight: 7lbs 10oz,In Stock!
Squier FSR Affinity Jaguar Graffiti Yellow,$367.99,,NEW,,In Stock!
Squier FSR Affinity Stratocaster HSS Graffiti Yellow,$314.99,,NEW,,Pre-Order
Squier FSR Classic Vibe '60s Jazzmaster Competition Burgundy,$473.99,,NEW,,Pre-Order
Squier FSR Classic Vibe '60s Mustang Competition Burgundy,$473.99,,NEW,,Pre-Order
Strandberg Boden Prog NX 7 Deep Blue,"$2,495.00",,NEW,,In Stock!
Strandberg Boden Prog NX 6 Deep Blue,"$2,395.00",,NEW,,In Stock!
Orangewood Del Sol Baritone Electric Guitar Sandstone,$695.00,,NEW,,In Stock!
Gibson ES-120T Sunburst 1966,"$1,758.00",Serial #72809,VINTAGE,Weight: 5lbs 6oz,In Stock!
Gibson ES-150D Walnut 1974,"$4,995.00",Serial #141023,VINTAGE,Weight: 5lbs 14oz,In Stock!
Supro Triple-Tone Guitar Model 1575 Black 1959,"$2,595.00",Serial #T8081,VINTAGE,Weight: 7lbs 11oz,In Stock!
"Gibson Eric Clapton 1960 Les Paul VOS ""Beano"" Sunburst 2011","$9,495.00",Serial #EC089,USED,Weight: 9lbs,In Stock!
"Gibson Custom Shop 1959 ES-355 ""CME Spec"" Heavy Antique White Sparkle Murphy Lab Ultra Light Aged w/Stopbar","$9,199.00",Serial #A950156,NEW,Weight: 8lbs 14oz,In Stock!
"Gibson Custom Shop Murphy Lab Replica Kirk Hammett 1959 Les Paul Standard ""Greeny"" Aged","$19,999.00",Serial #95231,NEW,Weight: 8lbs 10oz,In Stock!
Gibson ES-225 Sunburst 1958,"$4,195.00",Serial #T6482 2,VINTAGE,Weight: 5lbs 13oz,In Stock!
Carvin #61-SGB Natural 1960s,"$2,595.00",Serial #N/A,VINTAGE,Weight: 8lbs 5oz,In Stock!
Gretsch 6122-62 Country Classic Walnut 1996,"$2,095.00",Serial #96512262-459,USED,Weight: 8lbs 2oz,In Stock!
Xotic XTC-3 Split Doghair,"$3,395.00",Serial #3737,USED,Weight: 7lbs 6oz,In Stock!
G&L ASAT Classic Candy Apple Red 2006,"$1,295.00",Serial #CLF43825,USED,Weight: 8lbs 4oz,In Stock!
Reverend Sensei Jr. Korina Burst,$810.00,Serial #66673,USED,Weight: 7lbs 7oz,In Stock!
Danelectro '59 Triple Divine Black,$715.00,Serial #103251,USED,Weight: 5lbs 14oz,In Stock!
PRS S2 McCarty 594 Thinline Standard McCarty Tobacco Sunburst,"$2,149.00",,NEW,,In Stock!
Fender American Ultra II Meteora Texas Tea,"$2,359.99",Serial #US25017113,NEW,Weight: 7lbs 9oz,In Stock!
Duesenberg Starplayer CBR Transparent Black,"$3,299.00",Serial #232955,NEW,Weight: 8lbs 2oz,In Stock!
National Glenwood 99 Res-O-Glas White 1962,"$4,695.00",Serial #T-85406,VINTAGE,Weight: 9lbs 5oz,In Stock!
Fender Custom Shop '58 Telecaster Reissue Journeyman Relic Sunburst 2023,"$3,395.00",Serial #CZ573194,USED,Weight: 7lbs 3oz,In Stock!
Reverend Pete Anderson PA-1 Black 2008,"$1,095.00",Serial #11675,USED,Weight: 7lbs 5oz,In Stock!
Fender 2-Knob Stratocaster Sienna Sunburst 1983,"$1,795.00",Serial #E311821,USED,Weight: 7lbs 6oz,In Stock!
Epiphone Firebird Sunburst,$618.00,Serial #24011530582,USED,Weight: 7lbs 12oz,In Stock!
Squier MIJ Stratocaster Sunburst 1986,$523.00,Serial #E633534,USED,Weight: 7lbs 9oz,In Stock!
Godin 5th Avenue Kingpin P90 Vintage Burst,$849.00,,NEW,,In Stock!
Godin 5th Avenue Kingpin II Vintage Burst,$949.00,,NEW,,In Stock!
Hamer Vector Black and White Custom Finish 1980s,"$3,495.00",Serial #N/A,USED,Weight: 7lbs 6oz,In Stock!
Gibson Les Paul Standard '50s Mahogany Top TV Yellow 2024,"$2,095.00",Serial #229840145,USED,Weight: 9lbs 11oz,In Stock!
Gibson S-1 Natural 1978,"$1,595.00",Serial #72908589,VINTAGE,Weight: 9lbs 13oz,In Stock!
Rickenbacker 370/12 Amber Fireglo 2007,"$3,395.00",Serial #0732102,USED,Weight: 8lbs,In Stock!
PRS Limited Edition CE 24 w/Wood Library Top Whale Blue 2023,"$1,895.00",Serial #0372130,USED,Weight: 7lbs 11oz,In Stock!
Gibson '70s Flying V Natural 2023,"$1,795.00",Serial #233230029,USED,Weight: 7lbs,In Stock!
Fender Stevie Ray Vaughan Stratocaster Sunburst 1997,"$1,495.00",Serial #6940871,USED,Weight: 7lbs 8oz,In Stock!
Heritage Standard H-150 P90 Cherry 2024,"$2,195.00",Serial #1240375,USED,Weight: 9lbs 14oz,In Stock!
Fender Custom Shop LTD Roasted Stratocaster Journeyman Relic Dirty White Blonde,"$5,050.00",Serial #XN18838,NEW,Weight: 7lbs 4oz,In Stock!
Gibson Custom Shop 1964 SG Standard Silver Fox VOS w/Maestro,"$5,499.00",Serial #500824,NEW,Weight: 7lbs 8oz,In Stock!
Gibson Custom Shop Murphy Lab 1963 Firebird V Ember Red Ultra Light Aged w/Maestro Vibrola,"$7,799.00",Serial #407733,NEW,Weight: 8lbs 12oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Dirty Lemon Fade Murphy Lab Ultra Light Aged w/'59 Carmelita Neck","$7,599.00",Serial #95641,NEW,Weight: 8lbs 14oz,In Stock!
PRS S2 Studio Lake Blue,"$2,449.00",Serial #S2081028,NEW,Weight: 7lbs 14oz,In Stock!
PRS S2 Special Semi-Hollow Fire Red Burst,"$2,599.00",Serial #S2081374,NEW,Weight: 7lbs 2oz,In Stock!
PRS S2 Studio Black Amber,"$2,449.00",Serial #S2081007,NEW,Weight: 7lbs 6oz,In Stock!
PRS S2 Studio Faded Gray Black Purple Burst,"$2,449.00",Serial #S2081056,NEW,Weight: 7lbs 6oz,In Stock!
PRS S2 Special Semi-Hollow Faded Gray Black Blue Burst,"$2,599.00",Serial #S2081188,NEW,Weight: 7lbs 7oz,In Stock!
PRS SE Special Semi-Hollow Orange Tiger Smokeburst,"$1,149.00",,NEW,,In Stock!
PRS SE Studio Charcoal Cherry Burst,"$1,099.00",,NEW,,In Stock!
PRS SE Studio Lake Blue,"$1,099.00",,NEW,,In Stock!
PRS SE Studio Standard Rosewood Silvertone Gray,$849.00,,NEW,,In Stock!
PRS SE Studio Standard Rosewood Sage Green,$849.00,,NEW,,In Stock!
Gibson Custom Shop 1963 SG Junior TV Heather Poly VOS,"$4,399.00",Serial #500833,NEW,Weight: 6lbs 4oz,In Stock!
"Gibson Custom Shop 1958 Les Paul Standard ""CME Spec"" Orange Lemon Fade VOS w/59 Carmelita Neck","$5,799.00",Serial #85035,NEW,Weight: 9lbs 1oz,In Stock!
Gibson Custom Shop 1958 Korina Flying V Reissue Natural w/White Pickguard,"$9,999.00",Serial #841105,NEW,Weight: 7lbs 6oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Factory Burst VOS w/59 Carmelita Neck","$6,999.00",Serial #951248,NEW,Weight: 9lbs,In Stock!
Nash T-52 Ash Butterscotch Blonde Medium Relic,"$2,783.00",Serial #CHI735,NEW,Weight: 6lbs 13oz,In Stock!
Fender Stratocaster Champagne 1998,"$1,095.00",Serial #N8366830,USED,Weight: 8lbs,In Stock!
Rickenbacker 450/12 Fireglo 1966,"$3,495.00",Serial #FA300,VINTAGE,Weight: 7lbs 4oz,In Stock!
Gibson Custom Les Paul Custom Silver Sparkle Burst 2024,"$5,495.00",Serial #CS402063,USED,Weight: 10lbs 1oz,In Stock!
Fender Stratocaster Candy Apple Red 1964,"$37,500.00",Serial #L22284,VINTAGE,Weight: 7lbs 4oz,In Stock!
Taylor T5Z Natural 2021,"$2,495.00",Serial #1202081181,USED,Weight: 5lbs 8oz,In Stock!
Suhr Custom Classic T Swamp Ash Trans Daphne Blue w/Roasted Maple Neck,"$4,399.00",Serial #80774,NEW,Weight: 7lbs 7oz,In Stock!
Fender Coronado II Wildwood/Antigua 1967,"$2,995.00",Serial #213586,VINTAGE,Weight: 6lbs 11oz,In Stock!
Fender Telecaster Blonde 1952,"$68,000.00",Serial #3498,VINTAGE,Weight: 7lbs 8oz,In Stock!
Gibson Original SG Standard '61 Stop Bar Metallic Silver Mist,"$1,999.00",,NEW,,In Stock!
"Fender Custom Shop 1956 Esquire ""Chicago Special"" Journeyman Relic Super Aged Copper","$4,300.00",Serial #R143444,NEW,Weight: 7lbs,In Stock!
Suhr Andy Wood Signature Modern T Humbucker AW Silver,"$3,849.00",Serial #82538,NEW,Weight: 7lbs 12oz,In Stock!
Gibson Custom Shop 1958 Les Paul Standard All Ebony Ultra Murphy Lab Light Aged,"$6,299.00",Serial #85478,NEW,Weight: 8lbs 8oz,In Stock!
Gretsch Jet Fire Bird Red 1956,"$7,995.00",Serial #21902,VINTAGE,Weight: 6lbs 15oz,In Stock!
Gibson Les Paul Custom Black 1971,"$7,995.00",Serial #618410,VINTAGE,Weight: 10lbs 15oz,In Stock!
Fender Stratocaster Sunburst 1974,"$5,500.00",Serial #573533,VINTAGE,Weight: 8lbs 11oz,In Stock!
Nash T-52 Ash Butterscotch Blonde Light Relic,"$2,783.00",Serial #CHI722,NEW,Weight: 6lbs 13oz,In Stock!
Suhr Modern Antique LE Daphne Blue,"$4,299.00",,NEW,,Pre-Order
Gibson Custom Shop 1964 ES-335 Reissue '60s Cherry VOS,"$5,999.00",Serial #150130,NEW,Weight: 7lbs 15oz,In Stock!
Suhr Classic JM Antique LE Olympic White w/Mastery Vibrato,"$4,375.00",,NEW,,Pre-Order
Gibson Original Les Paul Standard '60s Sunburst,"$2,999.00",Serial #208750339,NEW,Weight: 8lbs 13oz,In Stock!
"Gibson Artist Kirk Hammett ""Greeny"" Les Paul Standard Greeny Burst","$2,999.00",Serial #200750222,NEW,Weight: 8lbs 12oz,In Stock!
Gibson Original Les Paul Standard '50s Heritage Cherry Sunburst,"$2,999.00",Serial #208550084,NEW,Weight: 9lbs 2oz,In Stock!
Rock n Roll Relics Thunders 2 Cherry w/P90s,"$3,300.00",Serial #251902,NEW,Weight: 7lbs 1oz,In Stock!
Suhr Custom Classic JM Vintage Gold w/Roasted Maple Neck,"$4,399.00",Serial #80848,NEW,Weight: 8lbs,In Stock!
Fender Artist Jack White Triplecaster Black,"$3,679.99",Serial #JW240916,NEW,Weight: 7lbs 12oz,In Stock!
Fender Custom Shop 1962 Jazzmaster NOS Mercedes Blue,"$4,925.00",Serial #R144178,NEW,Weight: 8lbs 5oz,In Stock!
"Fender Custom Shop 1965 Stratocaster ""Chicago Special"" NOS Super Aged Teal Green Metallic","$4,475.00",Serial #R143858,NEW,Weight: 8lbs,In Stock!
PRS McCarty 594 10 Top McCarty Sunburst,"$5,600.00",Serial #0405503,NEW,Weight: 7lbs 11oz,In Stock!
Gibson Custom Theodore Cherry 2022,"$4,595.00",Serial ##72281,USED,Weight: 6lbs 7oz,In Stock!
Gibson Les Paul Special Cherry 1959,"$10,995.00",Serial #933383,VINTAGE,Weight: 7lbs 13oz,In Stock!
Gibson SG Special Cherry 1970,"$3,235.00",Serial ##901881,VINTAGE,Weight: 7lbs,In Stock!
Gibson Firebird '76 Bicentennial Sunburst 1978,"$5,995.00",Serial #71718221,VINTAGE,Weight: 8lbs 2oz,In Stock!
Gibson ES-330 Cherry 1962,"$10,995.00",Serial #85269,VINTAGE,Weight: 6lbs,In Stock!
Gibson ES-330 Sunburst 1960,"$10,995.00",Serial #R6085,VINTAGE,Weight: 6lbs 1oz,In Stock!
Gretsch 6119 Chet Atkins Tennessean Walnut 1962,"$4,295.00",Serial #44206,VINTAGE,Weight: 7lbs 7oz,In Stock!
Strandberg Salen Plini Satin Black 2024,"$2,295.00",Serial #C2407575,USED,Weight: 5lbs 8oz,In Stock!
Strandberg Salen Monochrom Monochrom Burst 2024,"$2,495.00",Serial #C2408655,USED,Weight: 5lbs 1oz,In Stock!
Suhr Classic JM Antique LE Ocean Turquoise w/Mastery Vibrato,"$4,375.00",,NEW,,Pre-Order
Suhr Modern Antique LE Shell Pink,"$4,299.00",,NEW,,Pre-Order
Gibson Custom Shop 1961 SG Les Paul Standard Cherry Red VOS w/Sideway Vibrola,"$5,499.00",Serial #403891,NEW,Weight: 7lbs 4oz,In Stock!
Collings I-35 LC Vintage Aged Tobacco Sunburst,"$7,900.00",Serial #I35LC242452,NEW,Weight: 6lbs 13oz,In Stock!
Nash S-63 Ice Blue Metallic Light Relic,"$2,795.00",Serial #CHI747,NEW,Weight: 7lbs 9oz,In Stock!
PRS S2 Vela Semi-Hollow Space Blue,"$2,149.00",,NEW,,In Stock!
Chapman Peter Honore Signature DPT Grove Green,"$1,125.00",Serial #H23120116,USED,Weight: 6lbs 15oz,In Stock!
"Gibson Custom Shop 1957 Les Paul Goldtop ""CME Spec"" Double Gold VOS w/59 Carmelita Neck","$5,399.00",Serial #75381,NEW,Weight: 8lbs 12oz,In Stock!
Dillion DR-1500 QTI Blue,$395.00,Serial #A-13108,USED,Weight: 7lbs 12oz,In Stock!
Gibson Custom Shop 1960 Les Paul Standard Beauty of the Burst 138 Murphy Lab Light Aged w/Bigsby B7,"$8,799.00",Serial #05208,NEW,Weight: 9lbs 6oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Chambered Kindred Burst VOS w/Lightweight Back","$7,999.00",Serial #95441,NEW,Weight: 6lbs 11oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Chambered Dirty Lemon Fade VOS w/Lightweight Back","$7,999.00",Serial #95347,NEW,Weight: 6lbs 10oz,In Stock!
Gibson Custom Shop 1959 ES-335 Reissue Vintage Natural VOS,"$5,999.00",Serial #A950113,NEW,Weight: 7lbs 15oz,In Stock!
Gibson Custom Shop 1959 Les Paul Standard Reissue Washed Cherry Sunburst VOS,"$6,699.00",Serial #951260,NEW,Weight: 9lbs 2oz,In Stock!
PRS S2 Standard 24 Space Blue,"$1,999.00",,NEW,,In Stock!
PRS S2 Standard 22 Antique White,"$1,999.00",,NEW,,In Stock!
PRS Silver Sky Maple John Mayer Moc Sand Satin,"$2,749.00",,NEW,,In Stock!
"Fender Custom Shop 1956 Esquire ""Chicago Special"" Deluxe Closet Classic Faded Natural Blonde","$4,250.00",Serial #R143609,NEW,Weight: 7lbs,In Stock!
Suhr Custom Classic JM Inca Silver w/Roasted Maple Neck,"$4,399.00",Serial #80845,NEW,Weight: 7lbs 11oz,In Stock!
Novo Serus J 2-Tone Burst Light Distress w/Black Block Inlays & Fralin P-90 Pickups,"$4,449.00",Serial #25334,NEW,Weight: 7lbs 3oz,In Stock!
PRS McCarty 10 Top McCarty Tobacco Sunburst,"$5,540.00",Serial #0393870,NEW,Weight: 7lbs 8oz,In Stock!
Gibson Custom Shop 1958 Korina Explorer Ebony VOS w/Black Pickguard,"$10,699.00",Serial #841954,NEW,Weight: 8lbs,In Stock!
Gibson Les Paul Standard Cherry Sunburst 1997,"$3,595.00",Serial #91047461,USED,Weight: 10lbs 7oz,In Stock!
Reverend Pete Anderson Eastsider S Satin Trans White,"$1,199.00",Serial #55834,USED,Weight: 7lbs 13oz,In Stock!
Schecter Demon-6 FR-S Aged Black Satin,$899.00,,NEW,,Pre-Order
Tom Anderson Hollow T Cobra Sunburst 2000,"$2,795.00",Serial #12-24-00A,USED,Weight: 6lbs 6oz,In Stock!
"Fender Custom Shop 1952 Esquire ""Chicago Special"" Deluxe Closet Classic Super Aged Transparent Sonic Blue","$4,675.00",Serial #R122846,NEW,Weight: 6lbs 13oz,In Stock!
Epiphone Inspired by Gibson Custom 1959 Les Paul Standard Reissue LEFTY Deep Cherry Sunburst,"$1,299.00",,NEW,,Pre-Order
PRS Limited Edition CE 22 McCarty Sunburst,"$2,699.00",,NEW,,Pre-Order
PRS Limited Edition CE 22 McCarty Sunburst,"$2,699.00",,NEW,,Pre-Order
PRS Limited Edition CE 22 Black Amber,"$2,699.00",Serial #0407153,NEW,Weight: 7lbs 4oz,In Stock!
PRS Limited Edition CE 22 Faded Blue Smokeburst,"$2,699.00",,NEW,,Pre-Order
PRS Limited Edition CE 22 Carroll Blue,"$2,699.00",,NEW,,Pre-Order
Epiphone Inspired by Gibson Custom 1964 SG Standard Reissue Cherry Red w/Maestro Vibrola,"$1,299.00",,NEW,,In Stock!
Epiphone Inspired by Gibson Custom 1957 Les Paul Goldtop Reissue Double Gold,"$1,299.00",,NEW,,In Stock!
Epiphone Inspired by Gibson Custom 1959 LP Standard Reissue Deep Cherry Sunburst,"$1,299.00",,NEW,,In Stock!
Epiphone Inspired by Gibson Custom 1960 Les Paul Standard Reissue Washed Cherry Sunburst,"$1,299.00",,NEW,,In Stock!
Epiphone Inspired by Gibson Custom 1959 Les Paul Standard Reissue Washed Bourbon Burst,"$1,299.00",,NEW,,In Stock!
Epiphone Inspired by Gibson Custom 1960 Les Paul Standard Reissue Iced Tea Burst,"$1,299.00",,NEW,,In Stock!
Epiphone Inspired by Gibson Custom 1963 Firebird I Reissue Cardinal Red,"$1,299.00",,NEW,,In Stock!
Fender American Professional Telecaster Sunburst 2017,"$1,095.00",Serial #US17001555,USED,Weight: 7lbs 13oz,In Stock!
Danelectro The '67 Dano Aqua,$495.00,Serial #102739,USED,Weight: 6lbs 9oz,In Stock!
Fender Limited Edition American Performer Timber Spruce Telecaster Honey Burst,"$1,579.99",Serial #US24013019,NEW,Weight: 7lbs 4oz,In Stock!
Fender Limited Edition American Performer Timber Pine Telecaster 2-Color Sunburst,"$1,579.99",Serial #US24007277,NEW,Weight: 7lbs 1oz,In Stock!
Fender Limited Edition American Performer Timber Sassafras Stratocaster Mocha,"$1,579.99",Serial #US240040396,NEW,Weight: 7lbs 14oz,In Stock!
Powers Electric A-Type Two-Tone Dolomite Silver Top & London Grey Back/Sides w/PF42 Pickups,"$4,299.00",Serial #A937,NEW,Weight: 6lbs 2oz,In Stock!
Collings I-35 LC Walnut w/Bigsby,"$7,425.00",Serial #I35LC252480,NEW,Weight: 7lbs 11oz,In Stock!
Reverend Jetstream HC w/Bigsby Dark Violin Brown,"$1,299.00",,NEW,,In Stock!
Reverend Jetstream HC w/Bigsby Mulberry Mist,"$1,299.00",,NEW,,In Stock!
Reverend Jetstream HC w/Bigsby 3-Tone Burst,"$1,299.00",,NEW,,In Stock!
Dunable USA Buckeye Burl Gnarwhal Transparent Green Fade,"$6,250.00",Serial #24370,NEW,Weight: 8lbs 8oz,In Stock!
